vendor,order_date,order_number,sku,description,quantity,unit_price,line_total
cascade,2025-11-25T22:26:16.945Z,2543,,"Threaded 16g Ball Ends - 1/8""",88,3.75,330
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Ball Ends - 1/8""",10,3.75,37.5
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 12g Straight Post - 5/8""",40,4.5,180
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 12g Straight Post - 11/16",25,4.5,112.5
cascade,2025-11-25T22:26:16.945Z,2543,,"Threaded 12g Ball Ends - 3/16""",60,3.75,225
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 12g Fixed Disk Post 4.5mm - 3/8""",2,4,8
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 12g Fixed Disk Post 4.5mm - 11/32""",5,4,20
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 12g Fixed Disk Post 4.5mm - 1/4""",2,4,8
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 12g Fixed Disk Post 4.5mm - 7/32""",4,4,16
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 12g Fixed Disk Post 4.5mm - 3/16""",4,4,16
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 14g Fixed Disk Post 4.5mm - 7/16""",4,4,16
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 14g Fixed Disk Post 4.5mm - 3/8""",2,4,8
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 14g Fixed Disk Post 4.5mm - 11/32""",1,4,4
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 14g Fixed Disk Post 4.5mm - 5/16""",5,4,20
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 14g Fixed Disk Post 4.5mm - 7/32""",10,4,40
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 14g Fixed Disk Post 4.5mm - 3/16""",3,4,12
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Ball Post 3.0mm - 3/8""",1,4,4
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Ball Post 3.0mm - 11/32""",3,4,12
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Ball Post 3.0mm - 5/16""",2,4,8
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Ball Post 3.0mm - 1/4""",1,4,4
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Ball Post 3.0mm - 7/32""",14,4,56
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Ball Post 3.0mm - 3/16""",1,4,4
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Disk Post 5.0mm - 1/2""",10,4.25,42.5
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Disk Post 5.0mm - 7/16""",8,4.25,34
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Disk Post 5.0mm - 11/32""",15,4.25,63.75
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Disk Post 4.0mm - 5/16""",160,4,640
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Disk Post 4.0mm - 9/32""",10,4,40
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Disk Post 4.0mm - 7/32""",15,4,60
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 16g Fixed Disk Post 4.0mm - 3/16""",3,4,12
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 4.0mm - 5/16""",7,4,28
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 4.0mm - 9/32""",19,4,76
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 4.0mm - 1/4""",6,4,24
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 4.0mm - 7/32""",4,4,16
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 3.0mm - 9/32""",2,4,8
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 3.0mm - 3/8""",2,4,8
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 3.0mm - 11/32""",5,4,20
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 3.0mm - 5/16""",36,4,144
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 3.0mm - 7/32""",13,4,52
cascade,2025-11-25T22:26:16.945Z,2543,,"Threadless 18g Fixed Disk Post 3.0mm - 1/4""",26,4,104
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 14g Fixed Disk Post 4.5mm - 11/32""",2,4,8
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 14g Fixed Disk Post 4.5mm - 5/16""",5,4,20
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 14g Fixed Disk Post 4.5mm - 5/32""",1,4,4
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 14g Fixed Disk Post 4.5mm - 3/16""",3,4,12
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 16g Fixed Ball Post 3.0mm - 5/16""",10,4,40
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 16g Fixed Disk Post 4.0mm - 3/8""",3,4,12
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 16g Fixed Disk Post 4.0mm - 11/32""",2,4,8
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 16g Fixed Disk Post 4.0mm - 9/32""",10,4,40
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 16g Fixed Disk Post 4.0mm - 5/16""",75,4,300
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 16g Fixed Disk Post 4.0mm - 1/4""",10,4,40
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 18g Fixed Disk Post 4.0mm - 9/32""",10,4,40
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 18g Fixed Disk Post 4.0mm - 1/4""",20,4,80
cascade,2025-11-25T22:26:15.318Z,2595,,"Threadless 18g Fixed Disk Post 4.0mm - 7/32""",7,4,28
anatometal,2025-11-23T21:25:29.000Z,ANA18584,,"Fixed Bead Ring - Stainless Steel / 16g / 7/16""",10,6.64,66.4
